PUBLIC_NAM,Rec_count,Education_count,Facility_count,Maintenance_count,Aesthetic_count,Collisions_2011_2014,Incidents_2011_200m,Incidents_norm,sqm,violent_crimes_total,violent_crimes_sqm,narcotic_crimes,narcotic_crimes_sq_m,water_perc,tree_perc,grass_perc,built_perc,t_safety,t_recreation,t_amenities,t_landscape,t_accessibility,t_condition,t_size,t_aesthetic
Columbus Square,4,0,1,0,0,37,99,434.557427,16638.80034,82,0.00492824,50,0.003005024,0.002760211,0.265509015,0.296475006,0.435255767,-0.291738904,0.381230092,1.003639811,-0.003458026,0.204212181,0.448406094,-0.015163347,-0.116461219
Dr Nicola Capitolo Playground,4,0,0,0,1,45,177,784.2461575,16559.71563,123,0.007427664,54,0.003260926,0,0.104742223,0.487813959,0.407443818,-0.136061786,0.287154124,0.606622179,-0.270844338,0.158199679,-0.020961483,0.193980308,-0.435322714
George A Vare Recreation Center,5,0,0,0,1,33,112,491.5026028,16623.26222,274,0.016482926,191,0.011489923,0,0.115766267,0.184039108,0.700194625,-0.084057595,0.688407212,0.220627613,-0.258737163,-0.237277955,0.14731205,-0.063584382,-0.331993639
Mount Airy Playground,4,0,0,0,0,13,47,202.9767958,16438.50602,39,0.002372478,10,0.000608328,0,0.125476727,0.436052171,0.438471101,0.482258372,0.560649751,0.77476261,-0.246781551,-0.222766804,0.602871253,-0.193739663,-0.232421199
Hillside Recreation Center,5,0,0,0,0,10,38,154.2177209,16510.44596,26,0.001574761,7,0.000423974,0,0.368834438,0.273101452,0.35806411,0.40591406,0.413332735,0.352600291,-0.150204356,0.079988181,0.151018968,-0.162870009,-0.378231422
Rodin Museum,0,1,0,0,1,127,114,478.1007064,16852.44808,66,0.003916345,69,0.004094361,0.00040284,0.482346993,0.046532085,0.470718082,-0.179321596,-0.370117359,-0.377562045,0.307946606,0.08094503,-0.35384931,0.13961365,0.214662077
Stephen Girard Park,0,1,0,0,0,19,134,591.3635878,16269.61554,39,0.002397106,20,0.001229285,0.001729194,0.844549375,0.103497197,0.050224235,0.049561512,0.343288723,0.103192413,0.047914049,-0.16149113,0.377686295,-0.136095584,0.211295893
Commodore John Barry Playground,6,0,1,0,0,26,110,485.9119502,16238.22085,59,0.003633403,35,0.002155409,0,0.077804229,0.263925152,0.658270619,0.345005088,0.136443869,1.131120662,-0.293861842,-0.153895921,0.348027263,-0.079784907,-0.178982782
Senator William Vincent Mullin Playground,4,0,0,0,0,33,118,475.2026048,15756.76167,129,0.008186961,37,0.002348198,0.00072538,0.062562921,0.579547803,0.357163896,-0.000931835,0.051799345,0.837563841,-0.373024544,-0.318784152,0.881454194,0.020418855,-0.172480434
Marie Dendy Recreation Center,7,0,0,0,0,12,64,282.9646465,15148.062,73,0.004819098,25,0.001650376,0,0.173115875,0.393934406,0.432949719,-0.300183372,0.155666429,0.09319835,-0.213849101,-0.277095593,0.491173381,0.149868995,-0.10682512
Dan Shissler Recreation Center,5,0,0,1,0,31,147,533.4273778,15772.82228,166,0.010524432,52,0.00329681,8.34E-05,0.039308003,0.438932052,0.521676497,0.128546269,0.810908725,0.897560276,-0.18432722,0.008870548,0.030858495,-0.167411628,-0.352760755
